Smiles,IDs,IC50 Count,Kd Count,EC50 Count,pIC50 Min,pIC50 Max,pIC50 Mean,pIC50 Median,pKd Min,pKd Max,pKd Mean,pKd Median,pEC50 Min,pEC50 Max,pEC50 Mean,pEC50 Median,Phenotype,Modulator
C[C@H](c1cc(F)cc(F)c1)N(C(=O)c1ccccc1O)[C@@H](C(N)=O)c1ccccc1,"51366403, CHEMBL4791592",2,0,0,7.301029996,7.301029996,7.301029996,7.301029996,,,,,,,,,Active,Antagonist
C[C@H](c1cc(F)cc(F)c1F)N(C(=O)c1ccccc1)[C@@H](C(N)=O)c1ccccc1,"51366416, CHEMBL4751372",2,0,0,5.657577319,5.657577319,5.657577319,5.657577319,,,,,,,,,Inactive,Antagonist
C[C@H](c1ccc(F)cc1)N(Cc1cc(C(=O)O)ccc1F)C(=O)c1cnc2ccccc2c1,"50342272, CHEMBL3577893",2,0,0,6.350665141,6.350665141,6.350665141,6.350665141,,,,,,,,,Active,Antagonist
C[C@H](c1ccc(F)cc1)N(Cc1ccc(Cl)c(C(=O)O)c1)C(=O)c1cnc2ccccc2c1,"CHEMBL4587626, CHEMBL4587626",2,0,0,5,5,5,5,,,,,,,,,Inactive,Antagonist
C[C@H](c1ccc(F)cc1)N(Cc1ccc(F)c(C(=O)O)c1)C(=O)c1cnc2ccccc2c1,"50342274, CHEMBL3577891",2,0,0,5.483861423,5.483861423,5.483861423,5.483861423,,,,,,,,,Inactive,Antagonist
C[C@H](c1ccc(F)cc1)N(Cc1cccc(C(=O)O)c1)C(=O)c1cc2cc[nH]c2cn1,"50342149, CHEMBL3577882",2,0,0,6.021819483,6.021819483,6.021819483,6.021819483,,,,,,,,,Active,Antagonist
C[C@H](c1ccc(F)cc1)N(Cc1cccc(C(=O)O)c1)C(=O)c1cc2ccccc2cn1,"50342276, CHEMBL3577889",2,0,0,7.045757491,7.045757491,7.045757491,7.045757491,,,,,,,,,Active,Antagonist
C[C@H](c1ccc(F)cc1)N(Cc1cccc(C(=O)O)c1)C(=O)c1cc2ccccc2nn1,"50342280, CHEMBL3577886",2,0,0,6.468521083,6.468521083,6.468521083,6.468521083,,,,,,,,,Active,Antagonist
C[C@H](c1ccc(F)cc1)N(Cc1cccc(C(=O)O)c1)C(=O)c1cc2ccccc2s1,"50342148, CHEMBL3577883",2,0,0,6.838631998,6.838631998,6.838631998,6.838631998,,,,,,,,,Active,Antagonist
C[C@H](c1ccc(F)cc1)N(Cc1cccc(C(=O)O)c1)C(=O)c1cc2ccccn2n1,"50342150, CHEMBL3577881",2,0,0,7.026872146,7.026872146,7.026872146,7.026872146,,,,,,,,,Active,Antagonist
C[C@H](c1ccc(F)cc1)N(Cc1cccc(C(=O)O)c1)C(=O)c1ccc(Oc2ccccc2)cc1,"50342278, CHEMBL3577887",2,0,0,5.20999648,5.20999648,5.20999648,5.20999648,,,,,,,,,Inactive,Antagonist
C[C@H](c1ccc(F)cc1)N(Cc1cccc(C(=O)O)c1)C(=O)c1cccc(-c2ccccc2)c1,"50342151, CHEMBL3577880",2,0,0,6.077274542,6.077274542,6.077274542,6.077274542,,,,,,,,,Active,Antagonist
C[C@H](c1ccc(F)cc1)N(Cc1cccc(C(=O)O)c1)C(=O)c1cn2ccccc2n1,"50342279, CHEMBL3576881",2,0,0,6.512861625,6.512861625,6.512861625,6.512861625,,,,,,,,,Active,Antagonist
C[C@H](c1ccc(F)cc1)N(Cc1cccc(C(=O)O)c1)C(=O)c1cnc2ccccc2c1,"50342147, CHEMBL3577885, CHEMBL3577885, 50342281, CHEMBL3577885, CHEMBL3577885",6,0,0,6.742321425,6.987162775,6.8647421,6.8647421,,,,,,,,,Active,Antagonist
C[C@H](c1ccc(F)cc1)N(Cc1cccc(C(=O)O)c1)C(=O)Cc1cccc(Cl)c1,"50342152, CHEMBL3577879",2,0,0,5,5,5,5,,,,,,,,,Inactive,Antagonist
C[C@H](c1ccc(F)cc1)N(Cc1cccc(C(=O)O)n1)C(=O)c1cnc2ccccc2c1,"50342275, CHEMBL3577890",2,0,0,5.935916564,5.935916564,5.935916564,5.935916564,,,,,,,,,Inactive,Antagonist
C[C@H](c1ccc(F)cc1)N(Cc1cccc(-c2nn[nH]n2)c1)C(=O)c1cnc2ccccc2c1,"50342170, CHEMBL3577895",2,0,0,5.792365633,5.792365633,5.792365633,5.792365633,,,,,,,,,Inactive,Antagonist
C[C@H](c1ccc(F)cc1)N(Cc1cccc(CC(=O)O)c1)C(=O)c1cnc2ccccc2c1,"50342171, CHEMBL3577894",2,0,0,5.488250289,5.488250289,5.488250289,5.488250289,,,,,,,,,Inactive,Antagonist
C[C@H](c1ccc(F)cc1F)N(Cc1cccc(C(=O)O)c1)C(=O)c1cc2ccccc2cn1,"50342161, CHEMBL3577904",2,0,0,7.22184875,7.22184875,7.22184875,7.22184875,,,,,,,,,Active,Antagonist
C[C@H](c1ccc(F)cc1F)N(Cc1cccc(C(=O)O)c1)C(=O)c1cc2ccccn2n1,"50342159, CHEMBL3577906",2,0,0,6.630784143,6.630784143,6.630784143,6.630784143,,,,,,,,,Active,Antagonist
C[C@H](c1ccc(F)cc1F)N(Cc1cccc(C(=O)O)c1)C(=O)c1cnc2ccccc2c1,"50342167, CHEMBL3577898",2,0,0,6.540607512,6.540607512,6.540607512,6.540607512,,,,,,,,,Active,Antagonist
C[C@H](c1ccc(F)cc1F)N(Cc1cccc(C(=O)O)n1)C(=O)c1cc2ccccc2cn1,"50342158, CHEMBL3577907",2,0,0,6.721246399,6.721246399,6.721246399,6.721246399,,,,,,,,,Active,Antagonist
C[C@H](c1cccc(Cl)c1)N(C(=O)c1ccccc1)[C@@H](C(N)=O)c1ccccc1,"50542865, CHEMBL3898642",2,0,0,6.397940009,6.397940009,6.397940009,6.397940009,,,,,,,,,Active,Antagonist
C[C@H](c1cccc(Cl)c1)N(C(=O)c1ccccc1)[C@@H](C(N)=O)c1cccnc1,"50542851, CHEMBL3918002",2,0,0,5.387216143,5.387216143,5.387216143,5.387216143,,,,,,,,,Inactive,Antagonist
C[C@H](c1cccc(Cl)c1)N(C(=O)c1ccccc1N)[C@@H](C(N)=O)c1ccccc1,"50543037, CHEMBL3889978",2,0,0,6.37675071,6.37675071,6.37675071,6.37675071,,,,,,,,,Active,Antagonist
C[C@H](c1cccc(Cl)c1)N(C(=O)c1ccccc1O)[C@@H](C(N)=O)c1ccccc1,"50543010, CHEMBL3944840",2,0,0,7,7,7,7,,,,,,,,,Active,Antagonist
C[C@H](c1cccc(Cl)c1)N(C(=O)c1cccnc1)[C@@H](C(N)=O)c1ccccc1,"50543011, CHEMBL3898903",2,0,0,5.602059991,5.602059991,5.602059991,5.602059991,,,,,,,,,Inactive,Antagonist
C[C@H](c1cccc(Cl)c1)N(Cc1cccc(C(=O)O)c1)C(=O)c1cnc2ccccc2c1,"50342163, CHEMBL3577902",2,0,0,7.207608311,7.207608311,7.207608311,7.207608311,,,,,,,,,Active,Antagonist
C[C@H](c1ccccc1)N(C(=O)c1ccccc1)[C@@H](C(N)=O)c1ccccc1,"51366414, CHEMBL4786793",2,0,0,5.920818754,5.920818754,5.920818754,5.920818754,,,,,,,,,Inactive,Antagonist
C[C@H](N)[C@H](O)C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCCC[C@@H](O)[C@H](C)N,"CHEMBL5274774, 51525228",2,0,0,5.22184875,5.22184875,5.22184875,5.22184875,,,,,,,,,Inactive,Antagonist
C[C@H](NC(=O)N[C@@H](c1ccc(C(F)(F)F)cc1)c1ncccc1Br)C(F)(F)F,"CHEMBL4244629, 51131348",2,0,0,7.229147988,7.229147988,7.229147988,7.229147988,,,,,,,,,Active,Antagonist
C[C@H](NC(=O)N[C@@H](c1ccc(C(F)(F)F)cc1)c1ncccc1C(F)(F)F)C(F)(F)F,"CHEMBL4237740, 51131378",2,0,0,7.292429824,7.292429824,7.292429824,7.292429824,,,,,,,,,Active,Antagonist
C[C@H](NC(=O)N[C@@H](c1ccc(C(F)(F)F)cc1)c1ncccc1F)C(F)(F)F,"CHEMBL4247847, 51131366",2,0,0,6.924453039,6.924453039,6.924453039,6.924453039,,,,,,,,,Active,Antagonist
C[C@H](NC(=O)N1CCc2ccccc2[C@H]1c1ccc(C(F)(F)F)c(F)c1)C(F)(F)F,"CHEMBL3235983, 50086658, 50086629",3,0,0,7.744727495,8,7.914909165,8,,,,,,,,,Active,Antagonist
C[C@H](NC(=O)N1CCc2ccccc2[C@H]1c1ccc(C(F)(F)F)cc1)C(F)(F)F,"CHEMBL3235969, 50086643, 50086614",3,0,0,7.568636236,7.853871964,7.758793388,7.853871964,,,,,,,,,Active,Antagonist
C[C@H](NC(=O)N1CCc2ccccc2[C@H]1c1ccc(C(F)(F)F)nc1)C(F)(F)F,"CHEMBL3235982, 50086657, 50086628",3,0,0,6.896196279,7.27572413,7.149214846,7.27572413,,,,,,,,,Active,Antagonist
C[C@H](NC(=O)N1CCc2cccnc2[C@H]1c1ccc(C(F)(F)F)c(F)c1)C(F)(F)F,"CHEMBL3235984, CHEMBL3235984, 50086659, 50086631, 50086630",5,0,0,7.638272164,7.920818754,7.864309436,7.920818754,,,,,,,,,Active,Antagonist
C[C@H](NC(=O)N1CCc2cccnc2[C@H]1c1ccc(C(F)(F)F)cc1)C(F)(F)F,"CHEMBL3235981, 50086656, 50086627",3,0,0,6.93930216,7.602059991,7.381140714,7.602059991,,,,,,,,,Active,Antagonist
C[C@H]1[C@H](F)C[C@@H](C(=O)NCc2cc(-c3cnc(C(F)(F)F)nc3)ncc2F)N1S(=O)(=O)c1ccc(F)cc1,"CHEMBL4092287, 50871217",2,0,0,4.698970004,4.698970004,4.698970004,4.698970004,,,,,,,,,Inactive,Antagonist
C[C@H]1OC(=O)C2=C1N1CCc3ccccc3C1CC2=O,884170,0,0,1,,,,,,,,,5,5,5,5,Inactive,Agonist
C[C@H]1OC(=O)C2=C1N1CCc3ccccc3C1CC21S(=O)CCS1(=O)=O,884168,0,0,1,,,,,,,,,6.15490196,6.15490196,6.15490196,6.15490196,Active,Agonist
C[C@H]1OC(=O)C2=C1N1CCc3ccccc3C1CC21SCCCS1,884167,0,0,1,,,,,,,,,6.698970004,6.698970004,6.698970004,6.698970004,Active,Agonist
C=C(C)[C@@H]1CCC(C)=C[C@H]1c1c(O)cc(CCC)cc1O,"CHEMBL2387742, 51455764, 51379486",3,0,0,6.045757491,6.045757491,6.045757491,6.045757491,,,,,,,,,Active,Antagonist
C=C(C)[C@@H]1CCC(C)=C[C@H]1c1c(O)cc(CCCCC)c(Cc2c(CCCCC)cc(O)c([C@@H]3C=C(C)CC[C@H]3C(=C)C)c2O)c1O,51355879,1,0,0,5.408935393,5.408935393,5.408935393,5.408935393,,,,,,,,,Inactive,Antagonist
C=C(C)[C@@H]1CCC(C)=C[C@H]1c1c(O)cc(CCCCC)cc1O,"CHEMBL190461, 51525229, 51355878",3,0,0,5.552841969,7.22184875,6.665513156,7.22184875,,,,,,,,,Active,Antagonist
C=C(C)[C@]12C[C@@H](C)[C@@]34OC(Cc5ccccc5)(O[C@@H]1C3C=C(COC(=O)Cc1ccc(O)c(OC)c1)C[C@]1(O)C(=O)C(C)=C[C@@H]41)O2,"CHEMBL5269402, 51525233",2,0,0,6.823908741,6.823908741,6.823908741,6.823908741,,,,,,,,,Active,Antagonist
C=C(C)C12CC(C)C34OC(Cc5ccccc5)(OC1C3C=C(COC(=O)Cc1ccc(O)c(OC)c1)CC1(O)C(=O)C(C)=CC14)O2,171342682,1,0,0,9.823908741,9.823908741,9.823908741,9.823908741,,,,,,,,,Active,Antagonist
C=C(C)c1c(N(Cc2cc(F)c(F)c(OC)c2F)S(=O)(=O)CC)sc2ccccc12,433818,1,0,0,7.511449283,7.511449283,7.511449283,7.511449283,,,,,,,,,Active,Antagonist
C=C(C)c1c(N(Cc2cc(OC)c(Cl)cc2F)S(=O)(=O)CC)sc2ccccc12,433787,1,0,0,7.725842151,7.725842151,7.725842151,7.725842151,,,,,,,,,Active,Antagonist
C=C(C)C1CCC(C)=CC1c1c(O)cc(CCC)cc1O,11601669,1,0,0,9.045757491,9.045757491,9.045757491,9.045757491,,,,,,,,,Active,Antagonist
C=C(C)C1CCC(C)=CC1c1c(O)cc(CCCCC)cc1O,644019,1,0,0,10.22184875,10.22184875,10.22184875,10.22184875,,,,,,,,,Active,Antagonist
C=C1[C@H](C)CC[C@@H](C(C)C)[C@@H]1OC(=O)c1ccccc1,"CHEMBL4777173, 51379485",2,0,0,5.698970004,5.698970004,5.698970004,5.698970004,,,,,,,,,Inactive,Antagonist
C=C1C(C)CCC(C(C)C)C1OC(=O)c1ccccc1,132566137,1,0,0,8.698970004,8.698970004,8.698970004,8.698970004,,,,,,,,,Active,Antagonist
C=C1OC(=O)c2c(C)cc(C)cc21,"51078701, 51078657",2,0,0,3.891434976,4.045275209,3.968355093,3.968355093,,,,,,,,,Inactive,Antagonist
C=C1OC(=O)c2cc(C)c(Cl)cc21,"51078698, 51078654",2,0,0,3.868060705,4.129596095,3.9988284,3.9988284,,,,,,,,,Inactive,Antagonist
C=C1OC(=O)c2cc(C)ccc21,"51078703, 51078686",2,0,0,3.698970004,3.698970004,3.698970004,3.698970004,,,,,,,,,Inactive,Antagonist
C=C1OC(=O)c2cc(F)ccc21,"51078700, 51078656",2,0,0,3.698970004,3.698970004,3.698970004,3.698970004,,,,,,,,,Inactive,Antagonist
C=C1OC(=O)c2cc(OC)ccc21,"51078699, 51078655",2,0,0,3.698970004,3.698970004,3.698970004,3.698970004,,,,,,,,,Inactive,Antagonist
C=C1OC(=O)c2ccc(C)cc21,"51078702, 51078658",2,0,0,3.698970004,3.698970004,3.698970004,3.698970004,,,,,,,,,Inactive,Antagonist
C=C1OC(=O)c2ccccc21,"51078704, 51078687",2,0,0,3.698970004,3.698970004,3.698970004,3.698970004,,,,,,,,,Inactive,Antagonist
C=CCc1cc(OC)c(O[C@@H](C)[C@@H](OCC)c2ccc(O)c(OC)c2)c(OC)c1,"CHEMBL4074380, 50894225",0,0,2,,,,,,,,,7.060480747,7.060480747,7.060480747,7.060480747,Active,Agonist
C=CCc1cc(OC)c(O[C@@H](C)[C@H](OCC)c2ccc(O)c(OC)c2)c(OC)c1,"CHEMBL4084423, 50894077",0,0,2,,,,,,,,,5.946921557,5.946921557,5.946921557,5.946921557,Inactive,Agonist
C=CCc1cc(OC)c(O[C@H](C)[C@@H](O)c2ccc(OC)c(OC)c2)c(OC)c1,"CHEMBL463097, 50894135",0,0,2,,,,,,,,,5,5,5,5,Inactive,Agonist
C=CCc1cc(OC)c(O[C@H](C)[C@@H](OC(C)=O)c2ccc(O)c(OC)c2)c(OC)c1,"CHEMBL4065676, 50894183",0,0,2,,,,,,,,,5,5,5,5,Inactive,Agonist
C=CCc1cc(OC)c(O[C@H](C)[C@@H](OC(C)=O)c2ccc(OC)c(OC)c2)c(OC)c1,"CHEMBL1909927, 50894166",0,0,2,,,,,,,,,5,5,5,5,Inactive,Agonist
C=CCc1cc(OC)c(O[C@H](C)[C@@H](OCC)c2ccc(O)c(OC)c2)c(OC)c1,"CHEMBL4073694, 50894265",0,0,2,,,,,,,,,5.93930216,5.93930216,5.93930216,5.93930216,Inactive,Agonist
C=CCc1cc(OC)c(O[C@H](C)[C@H](OCC)c2ccc(O)c(OC)c2)c(OC)c1,"CHEMBL4092140, 50894232",0,0,2,,,,,,,,,6.234331445,6.234331445,6.234331445,6.234331445,Active,Agonist
C=CCc1cc(OC)c(OC(C)C(O)c2ccc(O)c(OC)c2)c(OC)c1,"CHEMBL4087839, 50894190, 23872112",0,0,3,,,,,,,,,5,8,6,5,Inactive,Agonist
C=CCc1cc(OC)c(OC(C)C(O)c2ccc(OC)c(OC)c2)c(OC)c1,44566598,0,0,1,,,,,,,,,8,8,8,8,Active,Agonist
C=CCc1cc(OC)c(OC(C)C(O[C@@H]2C[C@H](C)CC[C@H]2C(C)C)c2ccc(O)c(OC)c2)c(OC)c1,"CHEMBL4076583, 50894064",0,0,2,,,,,,,,,7.552841969,7.552841969,7.552841969,7.552841969,Active,Agonist
C=CCc1cc(OC)c(OC(C)C(O[C@@H]2C[C@H](C)CC[C@H]2C(C)C)c2ccc(OC)c(OC)c2)c(OC)c1,"CHEMBL5272320, 51525201",0,0,2,,,,,,,,,5,5,5,5,Inactive,Agonist
C=CCc1cc(OC)c(OC(C)C(O[C@H]2C[C@@H](C)CC[C@@H]2C(C)C)c2ccc(O)c(OC)c2)c(OC)c1,"CHEMBL4067554, 50894062",0,0,2,,,,,,,,,7.958607315,7.958607315,7.958607315,7.958607315,Active,Agonist
C=CCc1cc(OC)c(OC(C)C(OC(C)=O)c2ccc(O)c(OC)c2)c(OC)c1,137631504,0,0,1,,,,,,,,,8,8,8,8,Active,Agonist
C=CCc1cc(OC)c(OC(C)C(OC(C)=O)c2ccc(OC)c(OC)c2)c(OC)c1,38347541,0,0,1,,,,,,,,,8,8,8,8,Active,Agonist
C=CCc1cc(OC)c(OC(C)C(OC(C)C)c2ccc(O)c(OC)c2)c(OC)c1,"CHEMBL4065256, 50894068, 71582491",0,0,3,,,,,,,,,7.086186148,10.08618615,8.086186149,7.086186148,Active,Agonist
C=CCc1cc(OC)c(OC(C)C(OC)c2ccc(O)c(OC)c2)c(OC)c1,"CHEMBL4062360, 50894278, 51136589",0,0,3,,,,,,,,,5.462180905,8.462180905,6.462180905,5.462180905,Inactive,Agonist
C=CCc1cc(OC)c(OC(C)C(OC2CC(C)CCC2C(C)C)c2ccc(O)c(OC)c2)c(OC)c1,"86343318, 86343319",0,0,2,,,,,,,,,10.55284197,10.95860731,10.75572464,10.75572464,Active,Agonist
C=CCc1cc(OC)c(OC(C)C(OC2CC(C)CCC2C(C)C)c2ccc(OC)c(OC)c2)c(OC)c1,171349094,0,0,1,,,,,,,,,8,8,8,8,Active,Agonist
C=CCc1cc(OC)c(OC(C)C(OC2CCCCC2)c2ccc(O)c(OC)c2)c(OC)c1,"CHEMBL4076657, 50894065, 71582567",0,0,3,,,,,,,,,7.26760624,10.26760624,8.26760624,7.26760624,Active,Agonist
C=CCc1cc(OC)c(OC(C)C(OCC(C)C)c2ccc(O)c(OC)c2)c(OC)c1,"CHEMBL4073357, 50894066, 71582492",0,0,3,,,,,,,,,6.860120914,9.860120914,7.860120914,6.860120914,Active,Agonist
C=CCc1cc(OC)c(OC(C)C(OCC)c2ccc(O)c(OC)c2)c(OC)c1,"CHEMBL4069984, 50894128, 71582399, 71582490, 71582400, 71582398, 71582401",0,0,7,,,,,,,,,6.478861916,10.06048075,8.516803094,8.946921557,Active,Agonist
C=CCc1cc(OC)c(OC(C)C(OCCCCCC)c2ccc(O)c(OC)c2)c(OC)c1,"CHEMBL4084074, 50894277, 71582493",0,0,3,,,,,,,,,6.482804102,9.482804102,7.482804102,6.482804102,Active,Agonist
C=CCc1cc(OC)c(OC(C)C(OCCCCCCCC)c2ccc(O)c(OC)c2)c(OC)c1,"CHEMBL4076994, 50894275, 89609800",0,0,3,,,,,,,,,7.065501549,10.06550155,8.065501549,7.065501549,Active,Agonist
C=CCc1cc(OC)c(OC(C)C(OCCCCCCCCCC)c2ccc(O)c(OC)c2)c(OC)c1,"CHEMBL4077565, 50894273, 71582494",0,0,3,,,,,,,,,7.180456064,10.18045606,8.180456063,7.180456064,Active,Agonist
C=CCc1cc(OC)c(OC(C)C(OCCOCCCC)c2ccc(O)c(OC)c2)c(OC)c1,"CHEMBL4072058, 50894069, 71582570",0,0,3,,,,,,,,,6.815308569,9.815308569,7.815308569,6.815308569,Active,Agonist
C=CCc1ccc(O)c(OC)c1,"CHEMBL42710, 51525197, 3314",0,0,3,,,,,,,,,4.180456064,7.180456064,5.180456064,4.180456064,Inactive,Agonist
C=CCN(c1cc2ccccc2s1)S(=O)(=O)c1ccccc1,433259,1,0,0,6.992679047,6.992679047,6.992679047,6.992679047,,,,,,,,,Active,Antagonist
C=CCN(c1sc2ccccc2c1Cl)S(=O)(=O)c1ccccc1,433233,1,0,0,7.455931956,7.455931956,7.455931956,7.455931956,,,,,,,,,Active,Antagonist
C=CCN(Cc1cccs1)C(=O)COc1ccc(C)cc1,"CHEMBL4092493, 50889695, 67511579",0,0,3,,,,,,,,,7.698970004,10.69897,8.698970003,7.698970004,Active,Agonist
c1cc2c3c(cccc3c1)CN(CCc1c[nH]c3ccccc13)C2,51135391,1,0,0,4.928117993,4.928117993,4.928117993,4.928117993,,,,,,,,,Inactive,Antagonist
c1ccc(CN(CCc2c[nH]c3ccccc23)CC2CCCCC2)cc1,"51135383, 51135387",2,0,0,6.22184875,8.455931956,7.338890353,7.338890353,,,,,,,,,Active,Antagonist
c1ccc(CN(CCc2c[nH]c3ccccc23)Cc2ccccc2)cc1,"45584, 50487933, 51525238, CHEMBL1779158, 51135389",5,0,0,5.494850022,9.096910013,6.644182799,6.096910013,,,,,,,,,Active,Antagonist
c1ccc(COc2ccc3[nH]cc(CCN(Cc4ccccc4)Cc4ccccc4)c3c2)cc1,51135395,1,0,0,5.721246399,5.721246399,5.721246399,5.721246399,,,,,,,,,Inactive,Antagonist
c1ccc(Oc2ccc(CNCCc3c[nH]c4ccccc34)cc2)cc1,50487935,0,0,1,,,,,,,,,4.397940009,4.397940009,4.397940009,4.397940009,Inactive,Agonist
CC#CCCN(c1sc2ccccc2c1Br)S(=O)(=O)c1ccccc1,433374,1,0,0,7.412289035,7.412289035,7.412289035,7.412289035,,,,,,,,,Active,Antagonist
CC(=Cc1ccccc1)C(=O)Nc1ccccc1C(=O)O,"2463055, 2463055",2,0,0,7.568636236,7.599999383,7.58431781,7.58431781,,,,,,,,,Active,Antagonist
CC(=O)C1=C(N(Cc2ccc(F)c(C(F)(F)F)c2)S(=O)(=O)c2ccccc2)S(=O)(=O)c2ccccc21,433539,1,0,0,8.096910013,8.096910013,8.096910013,8.096910013,,,,,,,,,Active,Antagonist
CC(=O)c1c(N(Cc2ccc(F)c(C(F)(F)F)c2)S(=O)(=O)c2ccc(Br)cc2)sc2ccccc12,433479,1,0,0,7.89279003,7.89279003,7.89279003,7.89279003,,,,,,,,,Active,Antagonist
CC(=O)c1c(N(Cc2ccc(F)c(C(F)(F)F)c2)S(=O)(=O)c2ccc(C#N)cc2)sc2ccccc12,433480,1,0,0,7.508638306,7.508638306,7.508638306,7.508638306,,,,,,,,,Active,Antagonist
CC(=O)c1c(N(Cc2ccc(F)c(C(F)(F)F)c2)S(=O)(=O)c2ccc(C(=O)O)cc2)sc2ccccc12,433427,1,0,0,7.823908741,7.823908741,7.823908741,7.823908741,,,,,,,,,Active,Antagonist
CC(=O)c1c(N(Cc2ccc(F)c(C(F)(F)F)c2)S(=O)(=O)c2ccccc2)sc2ccccc12,433423,1,0,0,8,8,8,8,,,,,,,,,Active,Antagonist
CC(=O)c1c(N(Cc2ccc(F)c(C(F)(F)F)c2)S(C)(=O)=O)sc2ccccc12,433354,1,0,0,8.22184875,8.22184875,8.22184875,8.22184875,,,,,,,,,Active,Antagonist
CC(=O)c1c(N(Cc2ccc(F)c(Cl)c2)S(=O)(=O)c2ccc(Br)cc2)sc2ccccc12,433760,1,0,0,7.872895202,7.872895202,7.872895202,7.872895202,,,,,,,,,Active,Antagonist
CC(=O)c1c(N(Cc2ccc(F)c(F)c2)S(=O)(=O)c2ccccc2)sc2ccccc12,433330,1,0,0,8.22184875,8.22184875,8.22184875,8.22184875,,,,,,,,,Active,Antagonist
CC(=O)c1c(N(Cc2ccc(F)c(F)c2)S(C)(=O)=O)sc2ccccc12,433355,1,0,0,7.677780705,7.677780705,7.677780705,7.677780705,,,,,,,,,Active,Antagonist
CC(=O)c1c(N(Cc2ccc(F)cc2)S(=O)(=O)c2ccc(Br)cc2)sc2ccccc12,433757,1,0,0,7.627087997,7.627087997,7.627087997,7.627087997,,,,,,,,,Active,Antagonist
CC(=O)c1c(N(Cc2ccc(OC(F)(F)F)cc2)S(=O)(=O)c2ccc(Br)cc2)sc2ccccc12,433758,1,0,0,7.35261703,7.35261703,7.35261703,7.35261703,,,,,,,,,Active,Antagonist
CC(=O)c1c(N(Cc2ccc(OC(F)(F)F)cc2)S(=O)(=O)c2ccc(C#N)cc2)sc2ccccc12,433791,1,0,0,8.244125144,8.244125144,8.244125144,8.244125144,,,,,,,,,Active,Antagonist
CC(=O)c1c(N(Cc2ccc(OC(F)(F)F)cc2)S(=O)(=O)c2ccc(C(=O)O)cc2)ncc2ccccc12,"CHEMBL3682593, 291741",2,0,0,7.853871964,7.853871964,7.853871964,7.853871964,,,,,,,,,Active,Antagonist
CC(=O)c1c(N(Cc2ccccc2)S(=O)(=O)c2ccc(Br)cc2)sc2ccccc12,433759,1,0,0,7.876148359,7.876148359,7.876148359,7.876148359,,,,,,,,,Active,Antagonist
CC(=O)c1c(N(CCCCC(F)(F)F)S(=O)(=O)c2ccc(C#N)cc2)sc2ccccc12,433792,1,0,0,7.777283529,7.777283529,7.777283529,7.777283529,,,,,,,,,Active,Antagonist
